feature name, logistic regression coefficient
and,0.2692876333573884
another,2.871375438394005
can,-0.34322029469575155
comments,1.8041973359019075
do,-0.5257069949394588
don,-0.017187268022520807
get,2.203756341833472
in,-0.445682394419448
just,0.05398864339687095
like,-0.3742718549158877
look,0.05127208637082296
my,-0.117507347809231
now,0.3806345235897748
on,-0.35259721225921
really,-0.4537797754832705
said,0.060405757348280936
since,0.5505404692440539
time,0.14296918448294066
very,-0.24473184438593334
